Tier,Name,Description
6,Delay Teleportation,"A spell that can briefly hinder teleportation effects that had their destination near the caster, buying them several seconds of time, which the caster would typically use to flee or prepare an attack. In addition, the spell also informed the caster of how many beings would be teleporting into their vicinity. It's effective against Greater Teleportation. Ainz could use this spell with Widen Magic."
6,Sharks Cyclone,A spell that invokes a tornado (100 meters high and with a 50-meter diameter). Within the tornado lie 6 meter long sharks waiting to devour anyone unlucky enough to be sucked inside.
6,All Greater Heal,A spell that that heals multiple allies' health.
6,Obsidian Sword,"Creates a large obsidian sword that will lock on to a target and hone in like a missile. It was incredibly difficult to destroy a sword made of magic with a physical attack. By using ""Triple Maximize Magic,"" Ainz can summon about three swords that gave off a black light while floating in midair. The Obsidian Sword constructs could only be used as an offensive tool and could not be used to defend oneself. That was because the obsidian swords suffered from a mass loss of durability if used to receive an opponent�s attack. If used defensively, the swords� durability would rapidly diminish until they shatter."
6,Retracognition,"In the Web Novel, it is a spell used to perceive the target's past."
6,Oracle,"In the Web Novel, it was a spell used to communicate with the Divine."
6,Time Accelerator,"Increase the speed, but the user cannot attack under the effects of the spell."
6,Power of Gaia,It offers increase defence from attacks when casted on themselves or others as well as increase one's own and allies strength and attack power.
6,Earthquake,"It would destroy all above-ground structures as well as underground facilities within this spell's area range of effect. People within said structures would largely be crushed to death or buried alive. A magically-induced earthquake could not affect things outside of the spell�s range, so people hiding in houses in other areas would not notice. The sound of collapsing buildings and the wails of people dying was another matter entirely."
6,Conflict Karma,Deals more damage the further from neutral karma the caster is. Deals less damage the further from neutral karma the target is.
6,Dragonbane,"Deals damage to Dragons and dragon-like creatures, and inflicts a debuff that lowers their stats. Effect does not stack."
6,Greater Full Potential,Increase stats of the target.
6,Mantle of Chaos,Spells cast on the target have a chance of causing damage to the caster based on MP spent to cast the spell
7,Blasphemy,A 7th tier spell.
7,Chain Dragon Lightning,"A 7th tier spell that shoots dragon-shaped lightning towards the target. Let alone its intended target, it can also strike other enemies nearby. It effectively works great against metal armor."
7,Create Greater Item,"This spell had originally been intended to produce weapons by the YGGDRASIL standard. However, in the New World, it would have broader applications such as creating items like chairs. In the Web Novel, it is a 7th tier spell."
7,Focus Magic,A 7th tier spell that can be used on an ally.
7,Greater Teleportation,A 7th tier spell that allows instantaneous transition without restriction to distance.
7,Greater Word of Curse,"A 7th tier spell. Ainz considered it was only a threatening move in close combat. Even if there was someone at the destination, the spell would deposit him at the nearest safe location, so there was no need to verify the destination with magic."
7,Hell Flame,A 7th tier spell that shoots out a very small flame that will then latch onto a target and become a raging inferno that burns anything to ashes with black flames.
7,Hellfire Wall,"A 7th tier spell that creates a wall of black flames surrounding everything within the victim's range of view, leaving them trapped. It causes no physical damage but seems to incinerate the soul instead."
7,Holy Smite,A 7th tier spell cast by Dominion Authority. It envelops the target in a column of pure light and also inflicts massive damage if they're evil-aligned.
7,Napalm,"A 7th tier spell that creates a column of flame to appear beside the target, engulfing it in fire."
7,Phoenix Flame,"A 7th tier resurrection spell it is useful to counter instant death spell or special skills such as the Goal Of All Life is Death. it consumes a large amount of MP to cast on one's self in addition by consuming an extra amount of Mana when casted it can do Minor flame damage around the user when one is revived. When revived the caster has only a minimum amount of HP recovery, the amount of hp recovery is also effected by other various factors."
7,Resurrection,A 7th tier spell used to revive the dead.
7,Shining Burst,"A 7th tier area-effect attack spell that is used to deal extra damage to evil creatures and the undead, with more damage the lower their karma value was. In turn, as their targets� karma increased, it would do less or no damage to them."
7,Summon Monster 7th,"summons a tier 7 monster, or several tier 6 monsters."
7,Summon Undead 7th,"summons a tier 7 undead, or several tier 6 undead."
7,Summon Demon 7th,"summons a tier 7 demon, or several tier 6 demons."
7,Summon Angel 7th,"summons a tier 7 angel, or several tier 6 angels."
7,Undeath Army,A 7th tier spell that can summon a huge horde of tier 1 undead.
7,Monster Army,A 7th tier spell that can summon a huge horde of tier 1 monsters.
7,Angelic Army,A 7th tier spell that can summon a huge horde of tier 1 angels.
7,Demonic Army,A 7th tier spell that can summon a huge horde of tier 1 demons.
7,Reverse Gravity,A spell that reverses the gravitational pull in a target area.
7,Summon Primal Air Elemental,A spell that summons a Primal Air Elemental.
7,Summon Primal Earth Elemental,A spell that summons a Primal Earth Elemental.
7,Summon Primal Fire Elemental,A spell that summons a Primal Fire Elemental.
7,Summon Primal Water Elemental,A spell that summons a Primal Water Elemental.
7,Mass Dominate Person,A spell which brainwashes multiple foes simultaneously to do the user's bidding.
7,Gravity Maelstrom,A spiraling black ball of gravity. Ainz uses a Maximize Magic type through it.
7,Call The Lightning Lord,A summoning spell.
7,Sodom's Fire and Brimstone,An AoE Fire-type Magical Attack that deals damage to multiple foes.
7,Anti-Life Cocoon,Increase the defense stats of the target. Can only be cast on undead targets.
7,Emerald Sarcophagus,Increase magical defense stat of target.
7,Infinity Wall,Increase physical defense stat of target.
7,Region Petrification,Turns the contents of an area to stone. Affects both creatures and objects
8,Aspect of Elemental,"It�s an eighth tier druid spell that gave resistances similar to the elementals. It gave immunity towards bad statuses like poison and disease. Other than that, it also nullified critical hits and attacks with similar effects."
8,Astral Smite,"An 8th tier spell. It is an attack that is effective against Ethereal beings. This also counts against beings, who are temporarily Ethereal."
8,Death,An 8th tier spell that can be used on a single target each time. Ainz can use it with Silent Magic. This would kill the soul (HP) of anyone who doesn't have an instant death countermeasure.
8,Dimensional Lock,An 8th tier spell which lets the user renders the enemy's teleportation and transfer magic unusable. Demiurge possessed it as a skill that can only be used by the highest-ranking devils or angels.
8,Distort Moral,An 8th tier spell.
8,Energy Drain,"An 8th tier spell from his specialty of necromancy. It was a spell that drained the opponent�s levels, granting the user various benefits depending on the amount of levels drained."
8,Explosion,"In the Web Novel, it is considered to be an 8th tier spell.[9]"
8,Insanity,An 8th tier spell.
8,Planer Eye,"In the Web Novel, it was an 8th tier divination spell, used for reconnaissance. Through performing a large ritual, the Slane Theocracy were able to conduct this spell to observe Nazarick. However, it was not strong enough to counter Nazarick's defence systems."
8,Remote Viewing,An 8th tier spell that casts an Arcane Eye that allows a person to view distant objects far away from where the person is currently located.
8,Summon Monster 8th,"summons a tier 8 monster, or several tier 7 monsters."
8,Summon Undead 8th,"summons a tier 8 undead, or several tier 7 undead."
8,Summon Demon 8th,"summons a tier 8 demon, or several tier 7 demons."
8,Summon Angel 8th,"summons a tier 8 angel, or several tier 7 angels."
8,Wave of Pain,An 8th tier spell.
8,Spiral of Death,A ritual that will allow the user to become an Elder Lich.
8,Black Hole,A spell that cast a void which would absorb the enemy inside.
8,Summon Primal Star Elemental,A spell that summons a Primal Star Elemental.
8,Flames of Gehenna,"A spell which creates an illusion, spitting tongues of crimson flame towards the sky. The wall of illusionary flames sway like a veil and encircles an area like a girdle. Ainz stated that it has effects that allow demons standing inside the fire benefit from improved attributes. This includes the demons' negative-karma spells will do more damage, item drop rates will increase, and many other effects."
8,Perfect Illusion,Ainz states this spell could defy all five senses.
8,Cry of the Banshee,"AoE Spell which can cause Instant Death. When used as 'Widen Magic,' it affected an area of 200 Meters around the Caster. This would kill the soul (HP) of anyone who doesn't have an instant death countermeasure."
9,Bless of Titania,A 9th tier spell that summoned forth a tiny fairy. The fairy queen beside him would take them along the least dangerous path. Ainz can use the spell with Extend Magic.
9,Call Greater Thunder,It is the most advanced single-target lightning spell of the 9th tier. An enormous thunderbolt is created and fused from multiple strands of lightning that can pierce through their target.
9,Crack In The Ground,"A 9th tier divine spell which causes the ground to split open, creating a fissure that gripped the foe�s leg as an entrapment."
9,Elemental Form,A 9th tier spell that has similar effects to the 8th tier spell Aspect of Elemental.
9,God's Eye,"A 9th Tier spell that casted an intangible and invisible eye. its range was far greater than [Remote Viewing] and it could also pass through obstacles like walls. While this spell was excellent for spying, you couldn�t say that it was the absolute best there was. Though it was invisible, it could easily be detected by second-tier detection spells. Plus, even though it was intangible, if it was destroyed in an attack, the caster would receive damage as feedback. Since this was also considered divination, the opponent could find his location through anti-divination measures or an attack could come flying over if it triggered any automated defenses."
9,Grasp Heart,"A 9th tier spell in which the caster grabs and crushes their opponent's heart, causing instant death to them. Even if the target resists, they instead become stupefied or stun as a secondary effect. This is said by Ainz to be his favorite spell. This would kill the soul (HP) of anyone who doesn't have an instant death countermeasure."
9,Greater Rejection,A 9th tier spell that cancels the target's attempt to use Greater Summon.
9,Lead of Yatagarasu,A 9th tier spell that created a three-legged crow. The Yatagarasu guided players along the shortest path to the heart of the dungeon. Ainz can use the spell with Extend Magic.
9,Nuclear Blast,"When used with Maximize Magic, this 9th tier spell was powerful enough to entirely consume the space between the user and their target in an instant. However, the user will also be caught in the range of the spell's attack. The spell does composite damage (half fire, half bludgeoning) and it was one of the weaker 9th tier spells in terms of damage. Nonetheless, it had a very large area of effect to the point that if the surrounding buildings are present, those large objects would have been swept away in the middle of that explosion. In that respect, the spell was superior to almost all others as it can generate all kinds of negative status effects. This includes poisoning, blindness, deafness, and so on. Anything of the Evil Lord's level would be able to resist it with their raw statistics alone. It possessed a very powerful knockback effect. Ainz stated that he could even cast this spell with Widen Magic to increase the area and range of its effect if need be."
9,Perfect Unknowable,"A 9th tier spell used to make the user invisible to the naked eye. It can also erase one's traces and sounds including the pitch of the user's voice from being heard, making the magic caster very difficult to detect if they did not have very high-level thief-type job classes."
9,Polar Claw,"A claw that emitted air as chilled as the poles clawed at the target. It had no secondary effects but dealt a lot of damage, the highest DPS of any ice-based spell in fact."
9,Summon Monster 9th,"summons a tier 9 monster, or several tier 8 monsters."
9,Summon Undead 9th,"summons a tier 9 undead, or several tier 8 undead."
9,Summon Demon 9th,"summons a tier 9 demon, or several tier 8 demons."
9,Summon Angel 9th,"summons a tier 9 angel, or several tier 8 angels."
9,Tempest,A 9th tier spell that allows one to create intense storms with high velocity rain and winds that can do damage to lower level opponents and block an enemies vision. It can also be used to clear other visions obstructing spells like the fog casted by Ainz scroll during his fight with Decem Hougan
9,Temporal Stasis,A single-target spell that could prevent the opponent from moving. It also prevented them from taking any damage while the spell lasted. That was why it was usually used when there were multiple hostiles.
9,True Death,"A 9th tier instant death spell, which invalidates the effect of lower-tier resurrection magic. This would kill the soul (HP) of anyone who doesn't have an instant death countermeasure."
9,True Resurrection,"A 9th tier spell, which is capable of reviving the dead. It could resurrect low-leveled beings like Neia Baraja without turning them into ashes during the process, but they will still lose some levels along the way."
9,Vermilion Nova,"A 9th tier spell. It is an attack targeting the opponent with a pillar of flame while dealing fire-based type of damage. Ainz considered it be the highest-level, super-tier magic notwithstanding, single-target anti-personnel fire-element attack spell that he is capable of. This spell could be used in combination with both Triplet Magic and Maximize Magic together."
9,Last Holy War,"A grand ritual spell imbued in the Holy Queen, Calca Bessarez's Crown."
9,Gate,"Summons a portal, allowing travel of a large number of people over great distances. It had no limits on distance and a 0% chance of teleport mishaps. It is considered to be the highest tier of teleportation magic."
9,Perfect Warrior,"The spell allows Ainz to convert his magic caster levels into an equivalent number of warrior levels. By using that spell, he could temporarily become a half-baked level 100 warrior. It also carried the benefit of being able to use certain pieces of arms and armor that would normally require specific job classes to access without penalty. This would include freely utilizing any weapons and it's abilities shown during his fight with Shalltear. However, there were many drawbacks to that spell. The first weakness was that he could not cast other spells while the magic was in effect. In addition, he would not gain any special warrior skills from the spell, and his recalculated ability scores would be lower than an actual warrior. Secondly, sustaining the transformation spell and other magic would both lower his mana and mana recovery rates to zero. This form was enough when matching blades with second-rate combatants like priests and the like, but he would stand no chance of winning against an opponent who was a dedicated warrior."
10,Armageddon - Evil,A 10th tier spell that summons a large number of tier 5 Demons
10,Armageddon - Good,A 10th tier spell that summons a large number of tier 5 Angels
10,Stampede,A 10th tier spell that summons a large number of tier 5 Monsters
10,Undead Host,A 10th tier spell that summons a large number of tier 5 Undead
10,Body of Effulgent Beryl,"A 10th tier spell that reduced the effectiveness of bludgeoning attacks against its subject while it was in effect, and it could completely negate one instance of bludgeoning damage after it was cast."
10,Body of Effulgent Aquamarine,"A 10th tier spell that reduced the effectiveness of piercing attacks against its subject while it was in effect, and it could completely negate one instance of piercing damage after it was cast."
10,Body of Effulgent Heliodor,"A 10th tier spell that reduced the effectiveness of slashing attacks against its subject while it was in effect, and it could completely negate one instance of slashing damage after it was cast."
10,Control Amnesia,"A 10th tier spell that grants the user some degree of control over the target's memories. Attempting to master new techniques, Ainz has done several experiments on lab rats like CZ2128_Delta while he practiced using the spell multiple times. To some degree, if used on an NPC, he is able to manipulate information that originated from the NPC's backstory set by their creator."
10,Create Fortress,"A 10th tier spell that summons forth a mighty fortress over 30 meters tall tower out of thin air. In YGGDRASIL, anyone on the same team could open those doors with a touch. All others would have to break them down. In the new world, the door will not open for the allies. A pair of double doors faced the entrance, and a passage stretched beyond them. At the end of the passage was yet another set of double doors. The way was lit by magical lights, so there were no problems traveling along it. Inside, there was a round hall. The floor was as white as snow, and the ceiling was high above. A spiral staircase coiled up from the center of the room and connected to the upper levels. The space here was expanded, so this place was larger on the inside than on the outside."
10,Field of Unclean,A 10th tier spell.
10,Implosion,It is a 10th tier spell that causes the target to collapse or burst inward.
10,Mercy of Shorea Robusta,A 10th tier Druid spell with a high mana drain similar to reality slash it has 3 known effects when casted: Short duration Heal Over Time that was not very effective. Absolute immunity to instant death. Resurrection upon reaching 0 HP with limited health good for a few hits. Triggering the resurrection canceled the spell
10,Mirror World,"Guild members of Ainz Ooal Gown used illusion magic of the highest tier, the [Mirror World] spell, to create a hemispherical screen which enclosed them. One could observe the outside world from inside the bubble without any problems, but from the outside, the inhabitants of the barrier were invisible, and people outside would only see the background. Aside from making the user harder to detect, the spell could also reflect a certain proportion of attacks directed at the occupants within."
10,Mist of Super Acid,"An AoE spell that creates a mist of strong acid that engulf the target. After being surrounded by the mist, the target will not only sustained damage by it but also their equipment and weapons as well, albeit only a small amount of damage to those. Ainz, who is also in the AOE, isn't affected due to a special condition applied to the spell."
10,Meteor Fall,"A 10th tier spell which causes a falling meteor to fall from the sky with shimmering light, which blinds onlookers temporarily. The meteor rips through the air and hit its intended target, then creates a burst of explosion upon contact. As a result, the massive explosion created by the meteor was able to flatten everything it touches and pulverized any surrounding targets."
10,Nature's Shelter,It is a 10th tier divine spell which can summon forth a bunker from the earth. The inside of the shelter gives the illusion of an endless sky. Nature Shelter can remain standing even when hit by super-tier magic. Only the Super Tier Magic: Sword of Damocles can breach it.
10,Reality Slash,"A 10th tier spell that is top class in damage dealing, but consumes a lot of mana. The spell is considered to be a lesser version of 'World Break'. By using ""Triplet Maximize Magic,"" Ainz creates three attacks that slashed space itself. It is capable of cleaving through the very fabric of space, and a hit from this powerful attack spell could disregard virtually any form of magical defense."
10,Seven Trumpeter,A 10th tier divine spell
10,Stream of Lava,"A 10th tier, divine spell that deals fire-type damage."
10,Summon Monster 10th,"summons a tier 10 monster, or several tier 9 monsters."
10,Summon Undead 10th,"summons a tier 10 undead, or several tier 9 undead."
10,Summon Demon 10th,"summons a tier 10 demon, or several tier 9 demons."
10,Summon Angel 10th,"summons a tier 10 angel, or several tier 9 angels."
10,Time Stop,A 10th-tier spell that stops the world from moving for a specific amount of time. No attacks would work or can be made use of while time was stopped. This spell is applicable with Silent Magic.
10,Ultimate Disturb,"A 10th tier spell that increases an ally's magic resistance rapidly, at the price of wrecking their ability to cast spells."
10,Uriel,"A 10th tier spell that deals fire-type damage. It was the kind of spell that could be learned by a magic caster of any type as long as the requirements to learn it were met. However, this spell only did its listed damage when cast by a magic caster with a maxed-out positive karma value. Its damage decreased as one�s karma value decreased. For Ainz with negative karma value, it would do less damage than a first-tier spell."
10,Grand Catastrophe,"As Ulbert's trump card, it is an ultimate move which requires 60% of his mana. Its destructive power outstripped the might of even super-tier spells. This spell is capable of wiping out five level 87 Primal Elementals, which should have been at full health, were instantly annihilated."
11,Fallen Down,Divine punishment Holy and Fire damage
11,Wish Upon A Star,"Reality alteration spends xp to wildly reshape reality, 10% of maximum XP is he minimum investment"
11,Pantheon,Summons 6 level 80 Angels
11,Stampede,Summons 6 level 80 Beasts
11,Pandemonium,Summons 6 level 80 Demons
11,I� Shub-Niggurath,AOE instant death which summons level 90 Dark Young creatures based on the number of deaths in the first phase of the spell up to 5.
11,Creation,Manipulate the terrain to negate effects such as volcanic activity or frozen tundra
11,Great Malediction,Curse the target with a powerful poison
11,Judgement,Manipulate Karma values of the target
11,Sword of Damocles,"Summon a projectile from orbit, slow, meant to attack static targets"
11,Seraph Empyrean,Summon the most high ranking angel
11,World Break,"Upgraded version of reality slash, deals a lot of damage in exchange for a lot of mana"
meta,Boost Magic, Elevates spell stats as if it belonged to the next tier
meta,Delay Magic, "Delay spell activation by x seconds, increasing the cost proportionately to the delay"
meta,Extend Magic, "Increase duration of a spell by x seconds, increasing the cost proportionately to the delay"
meta,Maximize Magic, "Spells normally have a damage range, this forces the spell to hit for its maximum effect"
meta,Over Magic, Casts higher tier spell
meta,Penetrate Magic, "Increases the likelyhood of defeating target's resistances"
meta,Silent Magic, "Remove verbal component of a spell"
meta,Twin Magic, Creates two spell effects
meta,Triplet Magic, Creates three spell effects
meta,Widen Magic, Increases spell range/area
meta,Five Elements Yin, Yin principle enhancement
meta,Five Elements Yang, Yang principle enhancement
